id,parameter,value,units,source,doi,,,,,,
1,latitude,-37.8265,degrees_north,Coutts et al. (2007a),https://doi.org/10.1016/j.atmosenv.2006.08.030,,,,,,
2,longitude,145.099,degrees_east,Coutts et al. (2007a),https://doi.org/10.1016/j.atmosenv.2006.08.030,,,,,,
3,ground_height,97,m,Coutts et al. (2007a),https://doi.org/10.1016/j.atmosenv.2006.08.030,,,,,,
4,measurement_height_above_ground,38,m,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
5,impervious_area_fraction,0.54,1,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
6,tree_area_fraction,0.29,1,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
7,grass_area_fraction,0.15,1,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
8,bare_soil_area_fraction,0.01,1,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
9,water_area_fraction,0.01,1,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
10,roof_area_fraction,0.39,1,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
11,road_area_fraction,0.09,1,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
12,other_paved_area_fraction,0.06,1,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
13,building_mean_height,7.2,m,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
14,tree_mean_height,9,m,estimate,-,,,,,,
15,roughness_length_momentum,0.68,m,Coutts et al. (2007b) (anemometric),https://doi.org/10.1175/JAM2462.1,,,,,,
16,displacement_height,7.92,m,Coutts (2006) p228,https://monash.hosted.exlibrisgroup.com/MON:au_everything:catau21144060160001751,,,,,,
17,canyon_height_width_ratio,0.41,1,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
18,wall_to_plan_area_ratio,0.4,1,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
19,average_albedo_at_midday,0.168,1,median of observations,-,,,,,,
20,resident_population_density,2748,person/km2,Coutts et al. (2007b),https://doi.org/10.1175/JAM2462.1,,,,,,
21,anthropogenic_heat_flux_mean,9.7,W/m2,Varquez et al. (2021),https://doi.org/10.1038/s41597-021-00850-w,,,,,,
22,topsoil_clay_fraction,0.16,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,,,,,
23,topsoil_sand_fraction,0.72,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,,,,,
24,topsoil_bulk_density,1030,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,,,,,
25,building_height_standard_deviation,3.86,m,"estimate, see notes",derived using eq. 2 of [Kanda et al. 2013](https://doi.org/10.1007/s10546-013-9818-x),,,,,1.05*bld_height - 3.7,3.86
26,roughness_length_momentum_mac,0.21,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,
27,displacement_height_mac,4.74,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,
28,roughness_length_momentum_kanda,0.68,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
29,displacement_height_kanda,10.44,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
