id,parameter,value,units,source,doi,,,,,,,
1,latitude,60.2028,degrees_north,Karsisto et al. (2016),https://doi.org/10.1002/qj.2659,,,,,,,
2,longitude,24.9611,degrees_east,Karsisto et al. (2016),https://doi.org/10.1002/qj.2659,,,,,,,
3,ground_height,29,m,Karsisto et al. (2016),https://doi.org/10.1002/qj.2659,,,,,,,
4,measurement_height_above_ground,31,m,Karsisto et al. (2016),https://doi.org/10.1002/qj.2659,,,,,,,
5,impervious_area_fraction,0.46,1,Karsisto et al. (2016) (Ku3),https://doi.org/10.1002/qj.2659,,,,,,,
6,tree_area_fraction,0.3,1,Karsisto et al. (2016) (Ku3),https://doi.org/10.1002/qj.2659,,,,,,,
7,grass_area_fraction,0.24,1,Karsisto et al. (2016) (Ku3),https://doi.org/10.1002/qj.2659,,,,,,,
8,bare_soil_area_fraction,0,1,Karsisto et al. (2016) (Ku3),https://doi.org/10.1002/qj.2659,,,,,,,
9,water_area_fraction,0,1,Karsisto et al. (2016) (Ku3),https://doi.org/10.1002/qj.2659,,,,,,,
10,roof_area_fraction,0.14,1,Karsisto et al. (2016) (Ku3),https://doi.org/10.1002/qj.2659,,,,,,,
11,road_area_fraction,0.32,1,Karsisto et al. (2016) (Ku3),https://doi.org/10.1002/qj.2659,,,,,,,
12,other_paved_area_fraction,0,1,included in road area fraction,-,,,,,,,
13,building_mean_height,12.6,m,Karsisto et al. (2016) (Ku3),https://doi.org/10.1002/qj.2659,,,,,,,
14,tree_mean_height,8.4,m,Karsisto et al. (2016) (Ku3),https://doi.org/10.1002/qj.2659,,,,,,,
15,roughness_length_momentum,1.35,m,"estimated, see notes","derived from morphology, including vegetation, using [Kent et al. 2017](https://doi.org/10.1016/j.jweia.2017.07.016)",,,,,,,
16,displacement_height,6,m,Nordbo et al. (2013) (morphometric),https://doi.org/10.1007/s10546-012-9773-y,,,,,,,
17,canyon_height_width_ratio,0.25,1,"estimated, see notes","estimated from typical distance between building frontages (~60m for 5-storey buildings, ~25m for 2-storey buildings)",,,,,,,
18,wall_to_plan_area_ratio,0.43,1,"estimated, see notes",derived from canyon h/w ratio and Eq. 1 from [Masson et al. (2020)](htpps://doi.org/10.1016/j.uclim.2019.100536),,,,,,,lambda_w = 2*(1-lambda_p)*(h/w)
19,average_albedo_at_midday,0.142,1,median of observations,-,,,,,,,
20,resident_population_density,4400,person/km2,Karsisto et al. (2016) (Ku3),https://doi.org/10.1002/qj.2659,,,,,,,
21,anthropogenic_heat_flux_mean,6.8,W/m2,Varquez et al (2021),https://doi.org/10.1038/s41597-021-00850-w,,,,,,,
22,topsoil_clay_fraction,0.32,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,,,,,,
23,topsoil_sand_fraction,0.35,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,,,,,,
24,topsoil_bulk_density,930,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,,,,,,
25,building_height_standard_deviation,2,m,Nordbo et al. (2013),https://doi.org/10.1007/s10546-012-9773-y,,,,,,,
26,roughness_length_momentum_mac,1.72,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,,
27,displacement_height_mac,3.8,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,,
28,roughness_length_momentum_kanda,1.21,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,,
29,displacement_height_kanda,9.44,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,,
