id,parameter,value,units,source,doi
1,latitude,43.6035,degrees_north,Masson et al. (2008),https://doi.org/10.1007/s00703-008-0289-4
2,longitude,1.4454,degrees_east,Masson et al. (2008),https://doi.org/10.1007/s00703-008-0289-4
3,ground_height,143,m,"Masson, pers. comms.",-
4,measurement_height_above_ground,48.05,m,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
5,impervious_area_fraction,0.9,1,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
6,tree_area_fraction,0.08,1,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
7,grass_area_fraction,0.02,1,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
8,bare_soil_area_fraction,0,1,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
9,water_area_fraction,0,1,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
10,roof_area_fraction,0.62,1,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
11,road_area_fraction,0.28,1,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
12,other_paved_area_fraction,0,1,included in road fraction,-
13,building_mean_height,15,m,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
14,tree_mean_height,15,m,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
15,roughness_length_momentum,1.5,m,Goret et al. (2019) (rule of thumb),https://doi.org/10.1016/j.aeaoa.2019.100042
16,displacement_height,10.5,m,Goret et al. (2019) (rule of thumb),https://doi.org/10.1016/j.aeaoa.2019.100042
17,canyon_height_width_ratio,1.32,1,"estimated, see notes",derived from wall to plan area and eq. 1 in [Masson et al. (2020)](htpps://doi.org/10.1016/j.uclim.2019.100536)
18,wall_to_plan_area_ratio,1,1,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
19,average_albedo_at_midday,0.127,1,median of observations,-
20,resident_population_density,13000,person/km2,Goret et al. (2019),https://doi.org/10.1016/j.aeaoa.2019.100042
21,anthropogenic_heat_flux_mean,47.5,W/m2,Varquez et al. (2021),https://doi.org/10.1038/s41597-021-00850-w
22,topsoil_clay_fraction,0.19,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663
23,topsoil_sand_fraction,0.47,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662
24,topsoil_bulk_density,1370,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665
25,building_height_standard_deviation,6.1,m,Ratti et al. (2002),https://doi.org/10.1023/A:1021380611553
26,roughness_length_momentum_mac,0.21,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2)
27,displacement_height_mac,12.73,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2)
28,roughness_length_momentum_kanda,0.39,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x)
29,displacement_height_kanda,23.37,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x)
