id,parameter,value,units,source,doi,,,,
1,latitude,35.3361,degrees_north,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
2,longitude,25.1328,degrees_east,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
3,ground_height,30,m,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
4,measurement_height_above_ground,27,m,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
5,impervious_area_fraction,0.9155,1,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
6,tree_area_fraction,0.0401,1,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
7,grass_area_fraction,0.0156,1,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
8,bare_soil_area_fraction,0.0099,1,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
9,water_area_fraction,0.0189,1,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
10,roof_area_fraction,0.5164,1,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
11,road_area_fraction,0.2006,1,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
12,other_paved_area_fraction,0.1985,1,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
13,building_mean_height,11.3,m,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
14,tree_mean_height,7.5,m,"Chrysoulakis, pers. comm.",-,,,,
15,roughness_length_momentum,0.71,m,Stagakis et al. (2019) (morphometric),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
16,displacement_height,17.39,m,Stagakis et al. (2019) (morphometric),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
17,canyon_height_width_ratio,0.39,1,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
18,wall_to_plan_area_ratio,0.39,1,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
19,average_albedo_at_midday,0.202,1,median of observations,-,,,,
20,resident_population_density,13438,person/km2,Stagakis et al. (2019),https://doi.org/10.1016/j.atmosenv.2019.01.009,,,,
21,anthropogenic_heat_flux_mean,17.4,W/m2,Varquez et al (2021),https://doi.org/10.1038/s41597-021-00850-w,,,,
22,topsoil_clay_fraction,0.24,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,,,
23,topsoil_sand_fraction,0.42,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,,,
24,topsoil_bulk_density,1370,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,,,
25,building_height_standard_deviation,8.2,m,"estimated, see notes",derived from avg. building height and eq. 2 of [Kanda et al. 2013](https://doi.org/10.1007/s10546-013-9818-x),,,,8.165
26,roughness_length_momentum_mac,0.11,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,
27,displacement_height_mac,8.77,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,
28,roughness_length_momentum_kanda,0.37,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,
29,displacement_height_kanda,20.4,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,
