id,parameter,value,units,source,doi,,
1,latitude,35.6645,degrees_north,Hirano et al. (2015),https://doi.org/10.2151/sola.2015-024,,
2,longitude,139.6845,degrees_east,Hirano et al. (2015),https://doi.org/10.2151/sola.2015-024,,
3,ground_height,39,m,Hirano et al. (2015),https://doi.org/10.2151/sola.2015-024,,
4,measurement_height_above_ground,52,m,Hirano et al. (2015),https://doi.org/10.2151/sola.2015-024,,
5,impervious_area_fraction,0.92,1,"estimated, see notes","area fractions within 500 m radius, from satellite imagery with sector 170-260 deg excluded",,
6,tree_area_fraction,0.06,1,"estimated, see notes","area fractions within 500 m radius, from satellite imagery with sector 170-260 deg excluded",,
7,grass_area_fraction,0.01,1,"estimated, see notes","area fractions within 500 m radius, from satellite imagery with sector 170-260 deg excluded",,
8,bare_soil_area_fraction,0.01,1,"estimated, see notes","area fractions within 500 m radius, from satellite imagery with sector 170-260 deg excluded",,
9,water_area_fraction,0,1,"estimated, see notes","area fractions within 500 m radius, from satellite imagery with sector 170-260 deg excluded",,
10,roof_area_fraction,0.41,1,"estimated, see notes","area fractions within 500 m radius, from satellite imagery with sector 170-260 deg excluded",,
11,road_area_fraction,0.32,1,"estimated, see notes","area fractions within 500 m radius, from satellite imagery with sector 170-260 deg excluded",,
12,other_paved_area_fraction,0.19,1,"estimated, see notes","area fractions within 500 m radius, from satellite imagery with sector 170-260 deg excluded",,
13,building_mean_height,9,m,Hirano et al. (2015),https://doi.org/10.2151/sola.2015-024,,
14,tree_mean_height,15,m,estimate,-,,
15,roughness_length_momentum,1.1,m,Hirano et al (2016) (anemometric),https://www.jstage.jst.go.jp/article/kazekosymp/24/0/24_85/_article/-char/en,,
16,displacement_height,28,m,Sugawara et al (2014) (anemometric),https://doi.org/10.14887/kazekosymp.23.0_49,, 
17,canyon_height_width_ratio,1.2,1,"Sugawara, pers. comms",derived from GIS/3D model,,
18,wall_to_plan_area_ratio,1.14,1,"Sugawara, pers. comms",derived from GIS/3D model,,
19,average_albedo_at_midday,0.133,1,median of observations,-,,
20,resident_population_density,16600,person/km2,Hirano et al. (2015),https://doi.org/10.2151/sola.2015-024,,
21,anthropogenic_heat_flux_mean,20,W/m2,Moriwaki et al (2008), https://doi.org/10.1029/2007WR006624,,
22,topsoil_clay_fraction,0.23,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,
23,topsoil_sand_fraction,0.39,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,
24,topsoil_bulk_density,1350,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,
25,building_height_standard_deviation,9.75,m,Sugawara et al (2014),https://doi.org/10.14887/kazekosymp.23.0_49,,
26,roughness_length_momentum_mac,0.63,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,
27,displacement_height_mac,6.12,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,
28,roughness_length_momentum_kanda,2.76,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,
29,displacement_height_kanda,20.46,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,
