id,parameter,value,units,source,doi,,,,,,
1,latitude,37.5907,degrees_north,"J Hong, pers. comm",-,,,,,,
2,longitude,127.0794,degrees_east,"J Hong, pers. comm",-,,,,,,
3,ground_height,22,m,"J Hong, pers. comm",-,,,,,,
4,measurement_height_above_ground,41.5,m,"J Hong, pers. comm",-,,,,,,
5,impervious_area_fraction,0.965,1,"J Hong, pers. comm",-,,,,,,
6,tree_area_fraction,0,1,"J Hong, pers. comm",-,,,,,,
7,grass_area_fraction,0.019,1,"J Hong, pers. comm",-,,,,,,
8,bare_soil_area_fraction,0.016,1,"J Hong, pers. comm",-,,,,,,
9,water_area_fraction,0,1,"J Hong, pers. comm",-,,,,,,
10,roof_area_fraction,0.588,1,"J Hong, pers. comm",-,,,,,,
11,road_area_fraction,0.377,1,"J Hong, pers. comm",-,,,,,,
12,other_paved_area_fraction,0,1,included in road fraction,-,,,,,,
13,building_mean_height,8.648,m,"J Hong, pers. comm",-,,,,,,
14,tree_mean_height,0,m,"J Hong, pers. comm",-,,,,,,
15,roughness_length_momentum,0.41,m,"estimated, see notes",derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
16,displacement_height,15.35,m,"estimated, see notes",derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
17,canyon_height_width_ratio,1,1,"estimated, see notes",derived from wall_to_plan_area_ratio and eq. 1 of [Masson et al. 2020](https://doi.org/10.1016/j.uclim.2019.100536),,,,,h/w = (lambda_w)/(2*(1-lambda_p)),1.001213592
18,wall_to_plan_area_ratio,0.825,1,"J Hong, pers. comm",-,,,,,,
19,average_albedo_at_midday,0.12,1,median of observations,-,,,,,,
20,resident_population_density,21000,person/km2,"J Hong, pers. comm",-,,,,,,
21,anthropogenic_heat_flux_mean,92.7,W/m2,Varquez et al. (2021),https://doi.org/10.1038/s41597-021-00850-w,,,,,,
22,topsoil_clay_fraction,0.2,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,,,,,
23,topsoil_sand_fraction,0.4,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,,,,,
24,topsoil_bulk_density,1270,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,,,,,
25,building_height_standard_deviation,5.4,m,"estimated, see notes",derived from avg. building height and eq. 2 of [Kanda et al. 2013](https://doi.org/10.1007/s10546-013-9818-x),,,,,1.05*bld_height - 3.7,5.3804
26,roughness_length_momentum_mac,0.13,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,
27,displacement_height_mac,7.16,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,
28,roughness_length_momentum_kanda,0.41,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
29,displacement_height_kanda,15.35,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
