id,parameter,value,units,source,doi,,,,,,
1,latitude,36.7197,degrees_north,Hong et al. (2019),https://doi.org/10.1186/s13021-019-0128-6,,,,,,
2,longitude,127.4344,degrees_east,Hong et al. (2019),https://doi.org/10.1186/s13021-019-0128-6,,,,,,
3,ground_height,60,m,"J Hong, pers. comm.",-,,,,,,
4,measurement_height_above_ground,19,m,"J Hong, pers. comm.",-,,,,,,
5,impervious_area_fraction,0.47,1,"J Hong, pers. comm.",-,,,,,,
6,tree_area_fraction,0.184,1,"J Hong, pers. comm.",-,,,,,,
7,grass_area_fraction,0.333,1,"J Hong, pers. comm.",-,,,,,,
8,bare_soil_area_fraction,0.013,1,"J Hong, pers. comm.",-,,,,,,
9,water_area_fraction,0,1,"J Hong, pers. comm.",-,,,,,,
10,roof_area_fraction,0.133,1,"J Hong, pers. comm.",-,,,,,,
11,road_area_fraction,0.337,1,"J Hong, pers. comm.",-,,,,,,
12,other_paved_area_fraction,0,1,included in road fraction,-,,,,,,
13,building_mean_height,7.384,m,"J Hong, pers. comm.",-,,,,,,
14,tree_mean_height,7.5,m,"J Hong, pers. comm.",-,,,,,,
15,roughness_length_momentum,1.06,m,"estimated, see notes",derived from morphology and vegetation using (Kent et al. 2017)[https://doi.org/10.1016/j.jweia.2017.07.016],,,,,,
16,displacement_height,3.5,m,"estimated, see notes",derived from morphology and vegetation using (Kent et al. 2017)[https://doi.org/10.1016/j.jweia.2017.07.016],,,,,,
17,canyon_height_width_ratio,0.32,1,"estimated, see notes",derived from wall_to_plan_area_ratio and eq. 1 of [Masson et al. 2020](https://doi.org/10.1016/j.uclim.2019.100536),,,,,h/w = (lambda_w)/(2*(1-lambda_p)),0.317762399
18,wall_to_plan_area_ratio,0.551,1,"J Hong, pers. comm.",-,,,,,,
19,average_albedo_at_midday,0.166,1,median of observations,-,,,,,,
20,resident_population_density,770,person/km2,Hong et al. (2019),https://doi.org/10.1186/s13021-019-0128-6,,,,,,
21,anthropogenic_heat_flux_mean,3.3,W/m2,Varquez et al. (2021),https://doi.org/10.1038/s41597-021-00850-w,,,,,,
22,topsoil_clay_fraction,0.19,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,,,,,
23,topsoil_sand_fraction,0.43,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,,,,,
24,topsoil_bulk_density,1360,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,,,,,
25,building_height_standard_deviation,4.1,m,"estimated, see notes",derived from avg. building height and eq. 2 of [Kanda et al. 2013](https://doi.org/10.1007/s10546-013-9818-x),,,,,1.05*bld_height - 3.7,4.0532
26,roughness_length_momentum_mac,1.22,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,
27,displacement_height_mac,2.13,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,
28,roughness_length_momentum_kanda,0.93,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
29,displacement_height_kanda,7.46,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
