id,parameter,value,units,source,doi,,,,
1,latitude,52.3665,degrees_north,ven der Horst  (in prep.),-,,,,
2,longitude,4.8929,degrees_east,ven der Horst  (in prep.),-,notes,,,
3,ground_height,0,m,ven der Horst  (in prep.),-,,,,
4,measurement_height_above_ground,40,m,ven der Horst  (in prep.),-,,,,
5,impervious_area_fraction,0.68,1,ven der Horst  (in prep.),-,,,,
6,tree_area_fraction,0.15,1,ven der Horst  (in prep.),-,,,,
7,grass_area_fraction,0,1,ven der Horst  (in prep.),-,,,,
8,bare_soil_area_fraction,0,1,ven der Horst  (in prep.),-,,,,
9,water_area_fraction,0.17,1,ven der Horst  (in prep.),-,,,,
10,roof_area_fraction,0.44,1,ven der Horst  (in prep.),-,,,,
11,road_area_fraction,0.07,1,ven der Horst  (in prep.),-,,,,
12,other_paved_area_fraction,0.17,1,ven der Horst  (in prep.),-,,,,
13,building_mean_height,14.2,m,ven der Horst  (in prep.),-,,,,
14,tree_mean_height,12,m,estimate,-,lambda_f,0.32625,,
15,roughness_length_momentum,0.7425,m,ven der Horst  (in prep.) (morphometric),-,lambda_p,0.44125,,
16,displacement_height,10.035,m,ven der Horst  (in prep.) (morphometric),-,,,,
17,canyon_height_width_ratio,0.92,1,"estimated, see notes",derived from 0.326 frontal area index reported in Horst (2021) and Eq. 7 & 8 in [Porson et al. 2010](https://doi.org/10.1002/qj.668),Porson et al (2010) eq. 7 & 8,0.917176379,,
18,wall_to_plan_area_ratio,1.02,1,"estimated, see notes",derived from 0.326 frontal area index reported in Horst (2021) and Eq. 1 in [Masson et al. 2020](https://doi.org/10.1016/j.uclim.2019.100536),Masson et al 2020 eq. 1,1.024944603,,
19,average_albedo_at_midday,0.096,1,median of observations,-,,,,
20,resident_population_density,14165,person/km2,"Steeneveld, pers. comm.",mean of neighbouring districts from Dutch national statistics office,,,,
21,anthropogenic_heat_flux_mean,43.4,W/m2,Varquez et al (2021),https://doi.org/10.1038/s41597-021-00850-w,,,,
22,topsoil_clay_fraction,0.19,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,,,
23,topsoil_sand_fraction,0.6,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,,,
24,topsoil_bulk_density,1380,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,,,
25,building_height_standard_deviation,11.21,m,"estimated, see notes",derived from morphology using eq. 2 of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,11.21
26,roughness_length_momentum_mac,0.77,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,
27,displacement_height_mac,10.07,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,
28,roughness_length_momentum_kanda,2.22,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,
29,displacement_height_kanda,25.17,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,
