id,parameter,value,units,source,doi
1,latitude,1.3143,degrees_north,Roth et al. 2017,https://doi.org/10.1002/joc.4873
2,longitude,103.9112,degrees_east,Roth et al. 2017,https://doi.org/10.1002/joc.4873
3,ground_height,5,m,Velasco et al. 2013,https://doi.org/10.5194/acp-13-10185-2013
4,measurement_height_above_ground,20.7,m,Roth et al. 2017,https://doi.org/10.1002/joc.4873
5,impervious_area_fraction,0.85,1,Tower website,https://www.nusurbanclimate.com/tkfluxtowersingapore
6,tree_area_fraction,0.11,1,Tower website,https://www.nusurbanclimate.com/tkfluxtowersingapore
7,grass_area_fraction,0.04,1,Tower website,https://www.nusurbanclimate.com/tkfluxtowersingapore
8,bare_soil_area_fraction,0,1,Tower website,https://www.nusurbanclimate.com/tkfluxtowersingapore
9,water_area_fraction,0,1,Tower website,https://www.nusurbanclimate.com/tkfluxtowersingapore
10,roof_area_fraction,0.39,1,Tower website,https://www.nusurbanclimate.com/tkfluxtowersingapore
11,road_area_fraction,0.12,1,Tower website,https://www.nusurbanclimate.com/tkfluxtowersingapore
12,other_paved_area_fraction,0.34,1,Tower website,https://www.nusurbanclimate.com/tkfluxtowersingapore
13,building_mean_height,9.9,m,Tower website,https://www.nusurbanclimate.com/tkfluxtowersingapore
14,tree_mean_height,7.3,m,Tower website,https://www.nusurbanclimate.com/tkfluxtowersingapore
15,roughness_length_momentum,0.8,m,Roth et al. 2017 (morphometric),https://doi.org/10.1002/joc.4873
16,displacement_height,7.34,m,Roth et al. 2017 (morphometric),https://doi.org/10.1002/joc.4873
17,canyon_height_width_ratio,0.61,1,Demuzere et al. 2017,https://doi.org/10.1002/qj.3028
18,wall_to_plan_area_ratio,0.66,1,Liu et al. 2017,https://iopscience.iop.org/article/10.1088/1748-9326/aa7ee7
19,average_albedo_at_midday,0.168,1,median of observations,-
20,resident_population_density,7490,person/km2,Roth et al. 2017,https://doi.org/10.1002/joc.4873
21,anthropogenic_heat_flux_mean,11,W/m2,Quah and Roth 2012,https://doi.org/10.1016/j.atmosenv.2011.10.015
22,topsoil_clay_fraction,0.048,1,Velasco et al. 2021,https://doi.org/10.1016/j.jenvman.2020.111752
23,topsoil_sand_fraction,0.165,1,Velasco et al. 2021,https://doi.org/10.1016/j.jenvman.2020.111752
24,topsoil_bulk_density,1080,kg/m3,Velasco et al. 2021,https://doi.org/10.1016/j.jenvman.2020.111752
25,building_height_standard_deviation,4,m,Tower website,https://www.nusurbanclimate.com/tkfluxtowersingapore
26,roughness_length_momentum_mac,0.49,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2)
27,displacement_height_mac,6.52,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2)
28,roughness_length_momentum_kanda,0.54,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x)
29,displacement_height_kanda,13.07,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x)
