id,parameter,value,units,source,doi,,,,,,,
1,latitude,51.5846,degrees_north,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
2,longitude,-1.7981,degrees_east,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
3,ground_height,108,m,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
4,measurement_height_above_ground,12.5,m,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
5,impervious_area_fraction,0.49,1,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
6,tree_area_fraction,0.09,1,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
7,grass_area_fraction,0.36,1,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
8,bare_soil_area_fraction,0.06,1,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
9,water_area_fraction,0,1,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
10,roof_area_fraction,0.16,1,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
11,road_area_fraction,0.15,1,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
12,other_paved_area_fraction,0.18,1,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
13,building_mean_height,4.5,m,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
14,tree_mean_height,6.2,m,Ward et al. (2016),https://doi.org/10.1016/j.uclim.2016.05.001,,,,,,,
15,roughness_length_momentum,0.5,m,Ward et al. (2013) (morphometric),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
16,displacement_height,3.5,m,Ward et al. (2013) (morphometric),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
17,canyon_height_width_ratio,0.23,1,"estimated, see notes",derived from 0.125 frontal area index reported in [Kent et al. 2018](https://doi.org/10.1007/s11252-017-0710-1) and Eq. 7 & 8 in [Porson et al. 2010](https://doi.org/10.1002/qj.668),,,,lambda_f,0.125,(pi * lambda_f)/(2*(1-lambda_p))=,0.233749453
18,wall_to_plan_area_ratio,0.39,1,"estimated, see notes",derived from 0.125 frontal area index reported in [Kent et al. 2018](https://doi.org/10.1007/s11252-017-0710-1) and Eq. 1 in [Masson et al. 2020](https://doi.org/10.1016/j.uclim.2019.100536),,,,lambda_p,0.16,pi * lambda_f=,0.392699082
19,average_albedo_at_midday,0.139,1,median of observations,-,,,,,,,
20,resident_population_density,4763,person/km2,Ward et al. (2016),https://doi.org/10.1016/j.uclim.2016.05.001,,,,,,,
21,anthropogenic_heat_flux_mean,8,W/m2,Ward et al. (2013),https://doi.org/10.5194/acp-13-4645-2013,,,,,,,
22,topsoil_clay_fraction,0.22,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,,,,,,
23,topsoil_sand_fraction,0.45,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,,,,,,
24,topsoil_bulk_density,1300,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,,,,,,
25,building_height_standard_deviation,1.025,m,"estimated, see notes",derived using eq. 2 of [Kanda et al. 2013](https://doi.org/10.1007/s10546-013-9818-x),,,,,1.025,,
26,roughness_length_momentum_mac,0.49,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,,
27,displacement_height_mac,1.52,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,,
28,roughness_length_momentum_kanda,0.35,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,,
29,displacement_height_kanda,3.76,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,,
