id,parameter,value,units,source,doi,,,,,,
1,latitude,39.4128,degrees_north,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
2,longitude,-76.5215,degrees_east,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
3,ground_height,157,m,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
4,measurement_height_above_ground,37.2,m,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
5,impervious_area_fraction,0.313,1,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
6,tree_area_fraction,0.536,1,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
7,grass_area_fraction,0.138,1,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
8,bare_soil_area_fraction,0.007,1,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
9,water_area_fraction,0.006,1,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
10,roof_area_fraction,0.16,1,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
11,road_area_fraction,0.153,1,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
12,other_paved_area_fraction,0,1,included in road_area_fraction,-,,,,,,
13,building_mean_height,5.6,m,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
14,tree_mean_height,11.4,m,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
15,roughness_length_momentum,1.8,m,"Crawford, pers. comms.",-,,,,,,
16,displacement_height,4.18,m,"estimate, see notes","derived from morphology, including vegetation, using [Kent et al. 2017](http://doi.org/10.1016/j.jweia.2017.07.016)",,,,,,
17,canyon_height_width_ratio,0.11,1,"estimate, see notes",typical width between buildings estimated from satellite imagery,,,,,,
18,wall_to_plan_area_ratio,0.18,1,"estimate, see notes",derived from canyon h/w ratio and Eq. 1 from [Masson et al. (2020)](htpps://doi.org/10.1016/j.uclim.2019.100536),,,,,,0.1848
19,average_albedo_at_midday,0.122,1,median of observations,-,,,,,,
20,resident_population_density,1500,person/km2,Crawford et al. (2011),https://doi.org/10.1016/j.atmosenv.2010.11.017,,,,,,
21,anthropogenic_heat_flux_mean,5.5,W/m2,Varquez et al. (2021),https://doi.org/10.1038/s41597-021-00850-w,,,,,,
22,topsoil_clay_fraction,0.17,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,,,,,
23,topsoil_sand_fraction,0.38,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,,,,,
24,topsoil_bulk_density,1310,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,,,,,
25,building_height_standard_deviation,2.18,m,"estimated, see notes",derived using eq. 2 of [Kanda et al. 2013](https://doi.org/10.1007/s10546-013-9818-x),,,,,1.05*bld_height - 3.7,2.18
26,roughness_length_momentum_mac,0.26,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,
27,displacement_height_mac,1.89,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,
28,roughness_length_momentum_kanda,0.19,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
29,displacement_height_kanda,5.35,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
