id,parameter,value,units,source,doi,,,,,,
1,latitude,44.9984,degrees_north,Peters et al. (2011),https://doi.org/10.1029/2010JG001463,,,,,,
2,longitude,-93.18836,degrees_east,Peters et al. (2011),https://doi.org/10.1029/2010JG001463,,,,,,
3,ground_height,301,m,site metadata,https://ameriflux.lbl.gov/sites/siteinfo/US-KUO#overview,,,,,,
4,measurement_height_above_ground,40,m,Peters et al. (2011),https://doi.org/10.1029/2010JG001463,,,,,,
5,impervious_area_fraction,0.21,1,weighted footprint fraction,https://ameriflux.lbl.gov/sites/siteinfo/US-KUO#overview,,,,,,
6,tree_area_fraction,0.38,1,weighted footprint fraction,https://ameriflux.lbl.gov/sites/siteinfo/US-KUO#overview,,,,,,
7,grass_area_fraction,0.36,1,weighted footprint fraction,https://ameriflux.lbl.gov/sites/siteinfo/US-KUO#overview,,,,,,
8,bare_soil_area_fraction,0,1,weighted footprint fraction,https://ameriflux.lbl.gov/sites/siteinfo/US-KUO#overview,,,,,,
9,water_area_fraction,0.05,1,weighted footprint fraction,https://ameriflux.lbl.gov/sites/siteinfo/US-KUO#overview,,,,,,
10,roof_area_fraction,0.12,1,Jarvi et al. 2017 (supplemental),https://doi.org/10.1038/s41598-017-05733-y,,,,,,
11,road_area_fraction,0.05,1,Jarvi et al. 2017 (supplemental),https://doi.org/10.1038/s41598-017-05733-y,,,,,,
12,other_paved_area_fraction,0.04,1,Jarvi et al. 2017 (supplemental),https://doi.org/10.1038/s41598-017-05733-y,,,,,,
13,building_mean_height,5.05,m,"McFadden, pers. comms.",calculated from LiDAR data within full footprint,,,,,,
14,tree_mean_height,12,m,Peters et al. (2011),https://doi.org/10.1029/2010JG001463,,,,,,
15,roughness_length_momentum,0.41,m,"estimate, see notes","derived from morphology, including vegetation, using [Kent et al. 2017](http://doi.org/10.1016/j.jweia.2017.07.016)",,,,,,
16,displacement_height,3.09,m,"estimate, see notes","derived from morphology, including vegetation, using [Kent et al. 2017](http://doi.org/10.1016/j.jweia.2017.07.016)",,,,,,
17,canyon_height_width_ratio,0.05,1,"estimated, see notes",derived from estimate of wall to plan area ratio and Eq. 1 from [Masson et al. (2020)](htpps://doi.org/10.1016/j.uclim.2019.100536),,,,,,0.052432432
18,wall_to_plan_area_ratio,0.097,1,"estimated, see notes",derived from perimeter of building footprint (from satellite imagery) times estimated average building height,,,,,,
19,average_albedo_at_midday,0.213,1,median of observations,-,,,,,,
20,resident_population_density,1125,person/km2,site metadata,https://ameriflux.lbl.gov/sites/siteinfo/US-KUO#overview,,,,,,
21,anthropogenic_heat_flux_mean,1.8,W/m2,Varquez et al. (2021),https://doi.org/10.1038/s41597-021-00850-w,,,,,,
22,topsoil_clay_fraction,0.15,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,,,,,
23,topsoil_sand_fraction,0.46,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,,,,,
24,topsoil_bulk_density,1490,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,,,,,
25,building_height_standard_deviation,3.11,m,"McFadden, pers. comms.",calculated from LiDAR data within full footprint,,,,,,
26,roughness_length_momentum_mac,0.12,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,
27,displacement_height_mac,1.33,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,,
28,roughness_length_momentum_kanda,0.09,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
29,displacement_height_kanda,5.13,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,,
