id,parameter,value,units,source,doi,,,,,
1,latitude,33.4839,degrees_north,Chow et al. (2014),https://doi.org/10.1002/joc.3947,,,,,
2,longitude,-112.1426,degrees_east,Chow et al. (2014),https://doi.org/10.1002/joc.3947,,,,,
3,ground_height,340,m,Chow et al. (2014),https://doi.org/10.1002/joc.3948,,,,,
4,measurement_height_above_ground,22.1,m,Chow et al. (2014),https://doi.org/10.1002/joc.3949,,,,,
5,impervious_area_fraction,0.48,1,Chow et al. (2014),https://doi.org/10.1002/joc.3950,,,,,
6,tree_area_fraction,0.05,1,Chow et al. (2014),https://doi.org/10.1002/joc.3951,,,,,
7,grass_area_fraction,0.1,1,Chow et al. (2014),https://doi.org/10.1002/joc.3952,,,,,
8,bare_soil_area_fraction,0.37,1,Chow et al. (2014),https://doi.org/10.1002/joc.3953,,,,,
9,water_area_fraction,0,1,Chow et al. (2014),https://doi.org/10.1002/joc.3954,,,,,
10,roof_area_fraction,0.26,1,Chow et al. (2014),https://doi.org/10.1002/joc.3955,,,,,
11,road_area_fraction,0.22,1,Chow et al. (2014),https://doi.org/10.1002/joc.3956,,,,,
12,other_paved_area_fraction,0,1,included in road fraction,-,,,,,
13,building_mean_height,4.5,m,Chow et al. (2014),https://doi.org/10.1002/joc.3958,,,,,
14,tree_mean_height,4,m,Chow et al. (2014),https://doi.org/10.1002/joc.3959,,,,,
15,roughness_length_momentum,0.6,m,"Chow, pers. comms",-,,,,,
16,displacement_height,3,m,"Chow, pers. comms",-,,,,,
17,canyon_height_width_ratio,0.4,1,Chow et al. (2014),https://doi.org/10.1002/joc.3959,,,,,
18,wall_to_plan_area_ratio,0.59,1,"estimated, see notes",derived from Eq. 1 in [Masson et al. 2020](https://doi.org/10.1016/j.uclim.2019.100536),,,,,
19,average_albedo_at_midday,0.172,1,median of observations,-,,,,,
20,resident_population_density,2500,person/km2,Statistical Atlas (2020),https://statisticalatlas.com/neighborhood/Arizona/Phoenix/Maryvale/Population,,,,,
21,anthropogenic_heat_flux_mean,21.1,W/m2,Varquez et al (2021),https://doi.org/10.1038/s41597-021-00850-w,,,,,
22,topsoil_clay_fraction,0.2,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525663,,,,,
23,topsoil_sand_fraction,0.4,1,OpenLandMap,https://doi.org/10.5281/zenodo.2525662,,,,,
24,topsoil_bulk_density,1500,kg/m3,OpenLandMap,https://doi.org/10.5281/zenodo.2525665,,,,,
25,building_height_standard_deviation,1.025,m,"estimated, see notes",derived using eq. 2 of [Kanda et al. 2013](https://doi.org/10.1007/s10546-013-9818-x),,,,,1.025
26,roughness_length_momentum_mac,0.42,m,Macdonald method,derived from morphology using eq. 26 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,
27,displacement_height_mac,2.24,m,Macdonald method,derived from morphology using eq. 23 of [Macdonald et al. (1998)](https://doi.org/10.1016/S1352-2310(97)00403-2),,,,,
28,roughness_length_momentum_kanda,0.31,m,Kanda method,derived from morphology using eq. 12a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,
29,displacement_height_kanda,4.47,m,Kanda method,derived from morphology using eq. 10a of [Kanda et al. (2013)](https://doi.org/10.1007/s10546-013-9818-x),,,,,
